nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;ibua;costo;stock_minino;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CABLE T C IP;;;;;;1599;0;4193;4193;0;0;3080;3080;0;0;0;0;3080;5;;;;1;26.5442404;TRUE;ACCESORIOS;GENERICA;;12631.94444;0;0;0;;GOTECH;99011;;;Estandar
CABLE TC;;;;;;987;0;7188;7188;0;0;6666.666667;6666.666667;0;0;0;0;6666.666667;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;15583.33333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE USB IPHONE 1M;;;;;;994;0;3594;3594;0;0;3333.333333;3333.333333;0;0;0;0;3333.333333;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;12041.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLES CB 100 TPC;;;;;;1405;0;3714;3714;0;0;3300;3300;0;0;0;0;3300;5;;;;1;11.14701131;TRUE;ACCESORIOS;GENERICA;;12159.72222;0;0;0;;HARVIC;333333333333;;;Estandar
CABLES CB 100 V8;;;;;;1406;0;3354;3354;0;0;2970;2970;0;0;0;0;2970;5;;;;1;11.4490161;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;HARVIC;333333333333;;;Estandar
CABLES CB 120 TPC;;;;;;969;0;2635;2635;0;0;2444.444444;2444.444444;0;0;0;0;2444.444444;5;;;;1;7.231709888;TRUE;ACCESORIOS;GENERICA;;11097.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLES CB 120 V8;;;;;;1000;0;2276;2276;0;0;2111.111111;2111.111111;0;0;0;0;2111.111111;5;;;;1;7.244678774;TRUE;ACCESORIOS;GENERICA;;10743.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CACLE XIAOMI TC TC;;;;;;999;0;5391;5391;0;0;5000;5000;0;0;0;0;5000;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR 6 PINES XAILO AD668;;;;;;997;0;17370;17370;0;0;16111.11111;16111.11111;0;0;0;0;16111.11111;5;;;;1;7.247489285;TRUE;ACCESORIOS;GENERICA;;25618.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR BOLSA;;;;;;987;0;5990;5990;0;0;5555.555556;5555.555556;0;0;0;0;5555.555556;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;14402.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR BOLSA;;;;;;987;0;6589;6589;0;0;6111.111111;6111.111111;0;0;0;0;6111.111111;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CAJA ROSADA 20W;;;;;;803;0;15573;15573;0;0;14444.44444;14444.44444;0;0;0;0;14444.44444;5;;;;1;7.246873149;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 322 TPC;;;;;;852;0;5990;5990;0;0;5555.555556;5555.555556;0;0;0;0;5555.555556;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;14402.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 322 V8;;;;;;856;0;5391;5391;0;0;5000;5000;0;0;0;0;5000;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 322 V8;;;;;;985;0;5510;5510;0;0;5111.111111;5111.111111;0;0;0;0;5111.111111;5;;;;1;7.239362775;TRUE;ACCESORIOS;GENERICA;;13930.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 370 TC;;;;;;950;0;9104;9104;0;0;8444.444444;8444.444444;0;0;0;0;8444.444444;5;;;;1;7.244678774;TRUE;ACCESORIOS;GENERICA;;17472.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 370 V8;;;;;;967;0;8505;8505;0;0;7888.888889;7888.888889;0;0;0;0;7888.888889;5;;;;1;7.244104775;TRUE;ACCESORIOS;GENERICA;;16881.94444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CD 371 TC;;;;;;997;0;7906;7906;0;0;7333.333333;7333.333333;0;0;0;0;7333.333333;5;;;;1;7.243443798;TRUE;ACCESORIOS;GENERICA;;16291.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 TC;;;;;;963;0;7097;7097;0;0;6600;6600;0;0;0;0;6600;5;;;;1;7.002958997;TRUE;ACCESORIOS;GENERICA;;15701.38889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 TPC;;;;;;977;0;7188;7188;0;0;6666.666667;6666.666667;0;0;0;0;6666.666667;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;15583.33333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 302 V8;;;;;;1353;0;6505;6505;0;0;6050;6050;0;0;0;0;6050;5;;;;1;6.994619523;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;HARVIC;333333333333;;;Estandar
CARGADOR CDR 302 V8;;;;;;993;0;6708;6708;0;0;6222.222222;6222.222222;0;0;0;0;6222.222222;5;;;;1;7.241767707;TRUE;ACCESORIOS;GENERICA;;15111.11111;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 370 TPC;;;;;;996;0;8984;8984;0;0;8333.333333;8333.333333;0;0;0;0;8333.333333;5;;;;1;7.242505194;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CDR 370 V8;;;;;;970;0;8385;8385;0;0;7777.777778;7777.777778;0;0;0;0;7777.777778;5;;;;1;7.241767707;TRUE;ACCESORIOS;GENERICA;;16763.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
