nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CABLE IPHONE 15 TC 60W;;;;;;990;0;6589;6588.541667;0;0;6111.111111;6111.111111;0;0;0;0;6111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE IPHONE USB;;;;;;1017;0;3354;3354.166667;0;0;2750;2750;0;0;0;0;2750;5;FALSE;FALSE;FALSE;1;18.01242236;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;4 PLAY;5533;;;Estandar
CABLE MI C-C;;;;;;999;0;4193;4192.708333;0;0;3888.888889;3888.888889;0;0;0;0;3888.888889;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;12631.94444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORG TC TC DE IP 1M;;;;;;987;0;5750;5750;0;0;5333.333333;5333.333333;0;0;0;0;5333.333333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;14166.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL DE IPHONE 1M -65;;;;;;962;0;29948;29947.91667;0;0;27777.77778;27777.77778;0;0;0;0;27777.77778;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;38013.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL DE IPHONE 2M -28;;;;;;997;0;32344;32343.75;0;0;30000;30000;0;0;0;0;30000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;40375;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL IPHONE TC TC 29;;;;;;1296;0;32943;32942.70833;0;0;25300;25300;0;0;0;0;25300;5;FALSE;FALSE;FALSE;1;23.2;TRUE;ACCESORIOS;GENERICA;;40965.27778;0;0;0;;OLAF;6742;;;Estandar
CABLE PLAY 2;;;;;;1000;0;3354;3354.166667;0;0;3111.111111;3111.111111;0;0;0;0;3111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE T C IP;;;;;;1599;0;4193;4192.708333;0;0;3080;3080;0;0;0;0;3080;5;FALSE;FALSE;FALSE;1;26.53913043;TRUE;ACCESORIOS;GENERICA;;12631.94444;0;0;0;;GOTECH;99011;;;Estandar
CABLE TC;;;;;;987;0;7188;7187.5;0;0;6666.666667;6666.666667;0;0;0;0;6666.666667;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;15583.33333;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
